agenda,nivel,dimension,nombre,detalle
AUE,1,1,"ORDENAR EL TERRITORIO Y HACER UN USO RACIONAL DEL SUELO, CONSERVARLO Y PROTEGERLO",
AUE,1,2,EVITAR LA DISPERSIÓN URBANA Y REVITALIZAR LA CIUDAD EXISTENTE,
AUE,1,3,PREVENIR Y REDUCIR LOS IMPACTOS DEL CAMBIO CLIMÁTICO Y MEJORAR LA RESILIENCIA,
AUE,1,4,HACER UNA GESTIÓN SOSTENIBLE DE LOS RECURSOS Y FAVORECER LA ECONOMÍA CIRCULAR,
AUE,1,5,FAVORECER LA PROXIMIDAD Y LA MOVILIDAD SOSTENIBLE,
AUE,1,6,FOMENTAR LA COHESIÓN SOCIAL Y BUSCAR LA EQUIDAD,
AUE,1,7,IMPULSAR Y FAVORECER LA ECONOMÍA URBANA,
AUE,1,8,GARANTIZAR EL ACCESO A LA VIVIENDA,
AUE,1,9,LIDERAR Y FOMENTAR LA INNOVACIÓN DIGITAL,
AUE,1,10,MEJORAR LOS INSTRUMENTOS DE INTERVENCIÓN Y LA GOBERNANZA,
AUE,2,1.1,Ordenar el suelo de manera compatible con su entorno territorial,
AUE,2,1.2,Conservar y mejorar el patrimonio natural y cultural y proteger el paisaje,
AUE,2,1.3,Mejorar las infraestructuras verdes y azules y vincularlas con el contexto natural,
AUE,2,2.1,"Definir un modelo urbano que fomente la compacidad, el equilibrio urbano y la dotación de servicios básicos",
AUE,2,2.2,Garantizar la complejidad funcional y diversidad de usos,
AUE,2,2.3,Garantizar la calidad y la accesibilidad de los espacios públicos,
AUE,2,2.4,Mejorar el medio ambiente urbano y reducir la contaminación,
AUE,2,2.5,"Impulsar la regeneración, renovación y rehabilitación urbana",
AUE,2,2.6,Mejorar la calidad y sostenibilidad de los edificios,
AUE,2,3.1,Adaptar el modelo territorial y urbano a los efectos del cambio climático y avanzar en su prevención,
AUE,2,3.2,Reducir las emisiones de gases de efecto invernadero,
AUE,2,3.3,Mejorar la resiliencia frente al cambio climático,
AUE,2,4.1,Ser más eficientes energéticamente y ahorrar energía,
AUE,2,4.2,Optimizar y reducir el consumo de agua,
AUE,2,4.3,Fomentar el ciclo de los materiales,
AUE,2,4.4,Favorecer la economía circular,
AUE,2,5.1,Favorecer la ciudad de proximidad,
AUE,2,5.2,Potenciar modos de transporte sostenibles,
AUE,2,6.1,Reducir el riesgo de pobreza y exclusión social en entornos urbanos desfavorecidos,
AUE,2,6.2,"Buscar la igualdad de oportunidades desde una perspectiva de género, edad y capacidad",
AUE,2,7.1,"Buscar la productividad local, la generación de empleo y la dinamización y diversificación de la actividad económica",
AUE,2,7.2,Fomentar el turismo sostenible y de calidad y los sectores clave de la economía local,
AUE,2,8.1,Fomentar la existencia de un parque de vivienda adecuado a precio asequible,
AUE,2,8.2,"Garantizar el acceso a la vivienda, especialmente de los colectivos más vulnerables",
AUE,2,9.1,Favorecer la sociedad del conocimiento y avanzar hacia el desarrollo de las ciudades inteligentes (Smart cities),
AUE,2,9.2,Fomentar la Administración electrónica y reducir la brecha digital,
AUE,2,10.1,"Lograr un marco normativo y de planeamiento actualizado, flexible y simplificado que mejore, también, la gestión",
AUE,2,10.2,"Asegurar la participación ciudadana, la transparencia y favorecer la gobernanza multinivel",
AUE,2,10.3,Impulsar la capacitación local y mejorar la financiación,
AUE,2,10.4,Diseñar y poner en marcha campañas de formación y sensibilización en materia urbana así como de intercambio y difusión de la información,
2030,1,1,FIN DE LA POBREZA,
2030,1,2,HAMBRE CERO,
2030,1,3,SALUD Y BIENESTAR,
2030,1,4,EDUCACIÓN DE CALIDAD,
2030,1,5,IGUALDAD DE GÉNERO,
2030,1,6,AGUA LIMPIA Y SANEAMIENTO,
2030,1,7,ENERGÍA ASEQUIBLE Y NO CONTAMINANTE,
2030,1,8,TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO,
2030,1,9,"INDUSTRIA, INNOVACIÓN E INFRAESTRUCTURA",
2030,1,10,REDUCCIÓN DE LAS DESIGUALDADES,
2030,1,11,CIUDADES Y COMUNIDADES SOSTENIBLES,
2030,1,12,PRODUCCIÓN Y CONSUMO RESPONSABLES,
2030,1,13,ACCIÓN POR EL CLIMA,
2030,1,14,VIDA SUBMARINA,
2030,1,15,VIDA Y ECOSISTEMAS TERRESTRES,
2030,1,16,"PAZ, JUSTICIA E INSTITUCIONES SÓLIDAS",
2030,1,17,ALIANZAS PARA LOGRAR LOS OBJETIVOS,
2030,2,1.1,Pobreza extrema,Erradicar la pobreza extrema.
2030,2,1.2,Reducir pobreza,Reducir al menos a la mitad la pobreza multidimensional.
2030,2,1.3,Protección social,Implementar sistemas de protección social.
2030,2,1.4,Acceso recursos,Garantizar acceso a recursos y servicios básicos.
2030,2,1.5,Resiliencia pobres,Reducir vulnerabilidad ante desastres.
2030,2,1.a,Financiación pobreza,Movilizar recursos contra la pobreza.
2030,2,1.b,Políticas pobreza,Crear marcos políticos sólidos.
2030,2,2.1,Fin del hambre,Garantizar acceso a alimentación suficiente.
2030,2,2.2,Malnutrición,Eliminar todas las formas de malnutrición.
2030,2,2.3,Productividad agrícola,Duplicar productividad de pequeños productores.
2030,2,2.4,Agricultura sostenible,Asegurar sistemas agrícolas sostenibles.
2030,2,2.5,Diversidad genética,Proteger diversidad genética agrícola.
2030,2,2.a,Inversión agrícola,Aumentar inversión rural.
2030,2,2.b,Comercio agrícola,Eliminar distorsiones comerciales.
2030,2,2.c,Precios alimentos,Estabilizar mercados alimentarios.
2030,2,3.1,Salud materna,Reducir mortalidad materna.
2030,2,3.2,Salud infantil,Eliminar muertes evitables infantiles.
2030,2,3.3,Epidemias,Poner fin a epidemias principales.
2030,2,3.4,Enfermedades crónicas,Reducir mortalidad por enfermedades no transmisibles.
2030,2,3.5,Adicciones,Prevenir abuso de sustancias.
2030,2,3.6,Accidentes tráfico,Reducir muertes por accidentes viales.
2030,2,3.7,Salud sexual,Garantizar acceso a salud reproductiva.
2030,2,3.8,Cobertura sanitaria,Lograr cobertura sanitaria universal.
2030,2,3.9,Contaminación salud,Reducir muertes por contaminación.
2030,2,3.a,Control tabaco,Fortalecer control del tabaco.
2030,2,3.b,Medicamentos,Acceso a vacunas y medicamentos esenciales.
2030,2,3.c,Personal sanitario,Aumentar financiación y personal sanitario.
2030,2,3.d,Gestión riesgos sanitarios,Fortalecer gestión de riesgos sanitarios.
2030,2,4.1,Educación básica,Garantizar educación primaria y secundaria gratuita.
2030,2,4.2,Educación infantil,Acceso a atención y educación temprana.
2030,2,4.3,Educación superior,Acceso igualitario a educación técnica y superior.
2030,2,4.4,Habilidades empleo,Aumentar competencias para empleo.
2030,2,4.5,Igualdad educativa,Eliminar desigualdades en educación.
2030,2,4.6,Alfabetización,Garantizar alfabetización juvenil y adulta.
2030,2,4.7,Educación sostenible,Promover educación para desarrollo sostenible.
2030,2,4.a,Infraestructura escolar,Mejorar instalaciones educativas.
2030,2,4.b,Becas,Ampliar becas internacionales.
2030,2,4.c,Docentes,Aumentar docentes cualificados.
2030,2,5.1,Fin discriminación,Eliminar discriminación contra mujeres.
2030,2,5.2,Violencia género,Eliminar violencia contra mujeres y niñas.
2030,2,5.3,Prácticas nocivas,Eliminar matrimonio infantil y mutilación.
2030,2,5.4,Trabajo cuidados,Reconocer trabajo doméstico no remunerado.
2030,2,5.5,Liderazgo femenino,Asegurar participación en liderazgo.
2030,2,5.6,Derechos reproductivos,Garantizar derechos sexuales y reproductivos.
2030,2,5.a,Recursos económicos,Igualdad en acceso a recursos.
2030,2,5.b,Tecnología mujeres,Acceso femenino a tecnología.
2030,2,5.c,Políticas igualdad,Adoptar políticas de igualdad de género.
2030,2,6.1,Agua potable,Garantizar acceso universal a agua potable segura.
2030,2,6.2,Saneamiento,Lograr acceso a saneamiento e higiene adecuados.
2030,2,6.3,Calidad agua,Reducir contaminación y mejorar calidad del agua.
2030,2,6.4,Uso eficiente agua,Aumentar eficiencia en uso del agua.
2030,2,6.5,Gestión hídrica,Implementar gestión integrada de recursos hídricos.
2030,2,6.6,Ecosistemas acuáticos,Proteger y restaurar ecosistemas relacionados con agua.
2030,2,6.a,Cooperación agua,Ampliar cooperación internacional en agua y saneamiento.
2030,2,6.b,Participación local,Fortalecer participación comunitaria en gestión del agua.
2030,2,7.1,Acceso energía,Garantizar acceso a energía asequible y moderna.
2030,2,7.2,Energías renovables,Aumentar proporción de energías renovables.
2030,2,7.3,Eficiencia energética,Mejorar eficiencia energética global.
2030,2,7.a,Cooperación energética,Promover cooperación en tecnología energética limpia.
2030,2,7.b,Infraestructura energética,Expandir infraestructura energética sostenible.
2030,2,8.1,Crecimiento económico,Mantener crecimiento económico sostenible.
2030,2,8.2,Productividad,Mejorar productividad mediante innovación.
2030,2,8.3,Empleo digno,Promover empleo pleno y productivo.
2030,2,8.4,Consumo eficiente,Mejorar eficiencia en consumo y producción.
2030,2,8.5,Trabajo decente,Lograr empleo pleno e igualdad salarial.
2030,2,8.6,Jóvenes empleo,Reducir jóvenes sin empleo ni formación.
2030,2,8.7,Trabajo forzoso,Erradicar trabajo infantil y forzoso.
2030,2,8.8,Derechos laborales,Proteger derechos laborales y entornos seguros.
2030,2,8.9,Desarrollo turístico,Promover turismo sostenible y empleo local.
2030,2,8.10,Servicios financieros,Ampliar acceso a servicios financieros.
2030,2,8.a,Ayuda comercio,Aumentar ayuda para comercio en países en desarrollo.
2030,2,8.b,Estrategia juvenil,Desarrollar estrategia global de empleo juvenil.
