linea,objetivo,codigo,nombre,descripcion,logro
1,1.1,1.1.1,Reactivació del Pla Director Urbanístic Metropolità (PDU),"Actuació 1.1.1.1        Seguir els avenços de la Generalitat i l'equip redactor del PDU
Actuació 1.1.1.2        Establir linies comunes entre els municipis de l'àmbit territorial de l'actuació
Actuació 1.1.1.3        Fer valer la veu del territori en el procés de redacció del PDU",1
1,1.1,1.1.2,Programa per desenvolupar ordenadament usos dels sòl,"Actuació 1.1.2.1	Impulsar l’elaboració d’un Pla dels espais agraris per garantir-ne la protecció i la funcionalitat territorial
Actuació 1.1.2.2.	Impulsar l’elaboració d’un Pla de sòls estratègics per activitats de valor afegit
Actuació 1.1.2.3.	Elaborar una Estratègia per abordar la dispersió urbana i fomentar la reutilització del sòl
Actuació 1.1.2.4.	Coordinar polítiques públiques municipals per equilibrar els usos habitacionals i turístics
Actuació 1.1.2.5	Elaborar un Pla metropolità d'equipaments garantint proximitat, equilibri i multifuncionalitat",1
1,1.2,1.2.1,Optimització de la xarxa de busos interurbans,"Actuació 1.2.1.1.	Millorar l'accés a la informació d'horaris i freqüències
Actuació 1.2.1.2.	Desplegar els serveis digitals de mobilitat (MOT) en la fase inicial a l’àmbit metropolità
Actuació 1.2.1.3.	Analitzar les possibilitats de flexibilització del servei de transport de viatgers per carretera
Actuació 1.2.1.4.	Seguir el procés de renovació de contractes",1
1,1.2,1.2.2,"Xarxa metropolitana de vies ciclables, mobilitat activa i espais públics","Actuació 1.2.2.1.	Elaborar el Pla Director de la Xarxa Ciclable Metropolitana
Actuació 1.2.2.2.	Elaborar el programa de millora de camins intermunicipals i itineraris verds
Actuació 1.2.2.3.	Elaborar el Projecte d'impuls d'itineraris urbans saludables i adaptats al confort climàtic
Actuació 1.2.2.4.	Impulsar programes pilot de pacificació de la xarxa viària
Actuació 1.2.2.5.	Impulsar un programa de foment d'espais públics inclusius",1
1,1.2,1.2.3,Impuls de l'Autoritat Territorial de la Mobilitat del Camp de Tarragona,"Actuació 1.2.3.1.	Redactar un estudi de mobilitat metropolitana integral
Actuació 1.2.3.2.	Elaborar un mapa intermodal i documents de diagnosi de la mobilitat des del territori: 
Actuació 1.2.3.3.	Establir una estratègia de representació davant l'Administració General de l'Estat per tal de defensar les necessitats d'inversió en infraestructures de transport",1
1,1.2,1.2.4,Pla de foment d’alternatives al vehicle privat,"Actuació 1.2.4.1. 	Analitzar els serveis actuals i de les necessitats futures per poder articular la taula metropolitana de coordinació del taxi i serveis a demanda
Actuació 1.2.4.2.	Elaborar un programa de mobilitat metropolitana integral que inclogui: mobilitat compartida, intermodalitat i aparcaments
Actuació 1.2.4.3. 	Elaborar un programa de mobilitat laboral coordinada amb empreses i polígons",1
1,1.2,1.2.5,Projecte Tramvia del Camp de Tarragona (TramCamp),"Actuació 1.2.5.1.	Seguir del desplegament del projecte
Actuació 1.2.5.2.	Acompanyar el territori per maximitzar els impactes positius ",1
1,1.3,1.3.1,Observatori metropolità de dades i indicadors de l’àrea metropolitana del camp de Tarragona,"Actuació 1.3.1.1.	Centralitzar i seguir indicadors territorials de l'àrea metropolitana
Actuació 1.3.1.2.	Crear una plataforma de dades obertes i magatzem de dades compartides
