agenda,nivel,dimension,nombre,detalle
AUE,1,1,"ORDER THE TERRITORY AND MAKE A RATIONAL USE OF THE LAND, CONSERVE AND PROTECT IT",
AUE,1,2,AVOID URBAN DISPERSION AND REVITALIZE THE EXISTING CITY,
AUE,1,3,PREVENT AND REDUCE THE IMPACTS OF CLIMATE CHANGE AND IMPROVE RESILIENCE,
AUE,1,4,MANAGE SUSTAINABLE RESOURCES AND PROMOTE THE CIRCULAR ECONOMY,
AUE,1,5,PROMOTE PROXIMITY AND SUSTAINABLE MOBILITY,
AUE,1,6,PROMOTE SOCIAL COHESION AND SEEK EQUITY,
AUE,1,7,PROMOTE AND PROMOTE THE URBAN ECONOMY,
AUE,1,8,GUARANTEE ACCESS TO HOUSING,
AUE,1,9,LEAD AND PROMOTE DIGITAL INNOVATION,
AUE,1,10,IMPROVE INTERVENTION INSTRUMENTS AND GOVERNANCE,
AUE,2,1.1,Organize the land in a way that is compatible with its territorial environment,
AUE,2,1.2,Preserve and improve the natural and cultural heritage and protect the landscape,
AUE,2,1.3,Improve the green and blue infrastructures and link them with the natural context,
AUE,2,2.1,"Define an urban model that promotes compactness, urban balance and the provision of basic services",
AUE,2,2.2,Guarantee functional complexity and diversity of uses,
AUE,2,2.3,Guarantee the quality and accessibility of public spaces,
AUE,2,2.4,Improve the urban environment and reduce pollution,
AUE,2,2.5,"Promote regeneration, renovation and urban rehabilitation",
AUE,2,2.6,Improve the quality and sustainability of buildings,
AUE,2,3.1,Adapt the territorial and urban model to the effects of climate change and advance in its prevention,
AUE,2,3.2,Reduce greenhouse gas emissions,
AUE,2,3.3,Improve resilience to climate change,
AUE,2,4.1,Be more energy efficient and save energy,
AUE,2,4.2,Optimize and reduce water consumption,
AUE,2,4.3,Promote the material cycle,
AUE,2,4.4,Foster the circular economy,
AUE,2,5.1,Foster the local city,
AUE,2,5.2,Promote sustainable modes of transport,
AUE,2,6.1,Reduce the risk of poverty and social exclusion in disadvantaged urban environments,
AUE,2,6.2,"Seek equal opportunities from a gender perspective, age and capacity",
AUE,2,7.1,"Seek local productivity, job creation and the revitalization and diversification of economic activity",
AUE,2,7.2,Promote sustainable and quality tourism and key sectors of the local economy,
AUE,2,8.1,Promote the existence of an adequate housing stock at an affordable price,
AUE,2,8.2,"Guarantee access to housing, especially for the most vulnerable groups",
AUE,2,9.1,Foster the knowledge society and advance towards the development of smart cities,
AUE,2,9.2,Promote e-Government and reduce the digital divide,
AUE,2,10.1,"Achieve an updated, flexible and simplified regulatory and planning framework that also improves management",
