agenda,nivel,dimension,nombre,detalle
AUE,1,1,"ORDENAR EL TERRITORI I FER UN ÚS RACIONAL DEL SÒL, CONSERVAR-LO I PROTEGIR-LO",
AUE,1,2,EVITAR LA DISPERSIÓ URBANA I REVITALITZAR LA CIUTAT EXISTENT,
AUE,1,3,PREVENIR I REDUIR ELS IMPACTES DEL CANVI CLIMÀTIC I MILLORAR LA RESILIÈNCIA,
AUE,1,4,FER UNA GESTIÓ SOSTENIBLE DELS RECURSOS I AFAVORIR L'ECONOMIA CIRCULAR,
AUE,1,5,AFAVORIR LA PROXIMITAT I LA MOBILITAT SOSTENIBLE,
AUE,1,6,FOMENTAR LA COHESIÓ SOCIAL I CERCAR L'EQUITAT,
AUE,1,7,IMPULSAR I AFAVORIR L'ECONOMIA URBANA,
AUE,1,8,GARANTIR L'ACCÉS A L'HABITATGE,
AUE,1,9,LIDERAR I FOMENTAR LA INNOVACIÓ DIGITAL,
AUE,1,10,MILLORAR ELS INSTRUMENTS D'INTERVENCIÓ I LA GOVERNANÇA,
AUE,2,1.1,Ordenar el sòl de manera compatible amb el seu entorn territorial,
AUE,2,1.2,Conservar i millorar el patrimoni natural i cultural i protegir el paisatge,
AUE,2,1.3,Millorar les infraestructures verdes i blaves i vincular-les amb el context natural,
AUE,2,2.1,"Definir un model urbà que fomenti la compacitat, l'equilibri urbà i la dotació de serveis bàsics",
AUE,2,2.2,Garantir la complexitat funcional i la diversitat d'usos,
AUE,2,2.3,Garantir la qualitat i l'accessibilitat dels espais públics,
AUE,2,2.4,Millorar el medi ambient urbà i reduir la contaminació,
AUE,2,2.5,"Impulsar la regeneració, la renovació i la rehabilitació urbana",
AUE,2,2.6,Millorar la qualitat i la sostenibilitat dels edificis,
AUE,2,3.1,Adaptar el model territorial i urbà als efectes del canvi climàtic i avançar en la seva prevenció,
AUE,2,3.2,Reduir les emissions de gasos d'efecte hivernacle,
AUE,2,3.3,Millorar la resiliència davant el canvi climàtic,
AUE,2,4.1,Ser més eficients energèticament i estalviar energia,
AUE,2,4.2,Optimitzar i reduir el consum d'aigua,
AUE,2,4.3,Fomentar el cicle dels materials,
AUE,2,4.4,Afavorir l'economia circular,
AUE,2,5.1,Afavorir la ciutat de proximitat,
AUE,2,5.2,Potenciar modes de transport sostenibles,
AUE,2,6.1,Reduir el risc de pobresa i exclusió social en entorns urbans desfavorits,
AUE,2,6.2,"Cercar la igualtat d'oportunitats des d'una perspectiva de gènere, edat i capacitat",
AUE,2,7.1,"Cercar la productivitat local, la generació d'ocupació i la dinamització i diversificació de l'activitat econòmica",
AUE,2,7.2,Fomentar el turisme sostenible i de qualitat i els sectors clau de l'economia local,
AUE,2,8.1,Fomentar l'existència d'un parc d'habitatge adequat a preu assequible,
AUE,2,8.2,"Garantir l'accés a l'habitatge, especialment dels col·lectius més vulnerables",
AUE,2,9.1,Afavorir la societat del coneixement i avançar cap al desenvolupament de les ciutats intel·ligents (Smart cities),
AUE,2,9.2,Fomentar l'Administració electrònica i reduir la bretxa digital,
AUE,2,10.1,"Assolir un marc normatiu i de planejament actualitzat, flexible i simplificat que millori, també, la gestió",
AUE,2,10.2,"Assegurar la participació ciutadana, la transparència i afavorir la governança multinivell",
AUE,2,10.3,Impulsar la capacitació local i millorar el finançament,
AUE,2,10.4,"Dissenyar i posar en marxa campanyes de formació i sensibilització en matèria urbana, així com d'intercanvi i difusió de la informació",
2030,1,1,FI DE LA POBRESA,
2030,1,2,FAM ZERO,
2030,1,3,SALUT I BENESTAR,
2030,1,4,EDUCACIÓ DE QUALITAT,
2030,1,5,IGUALTAT DE GÈNERE,
2030,1,6,AIGUA NETA I SANEJAMENT,
2030,1,7,ENERGIA ASSEQUIBLE I NO CONTAMINANT,
2030,1,8,TREBALL DECENT I CREIXEMENT ECONÒMIC,
2030,1,9,"INDÚSTRIA, INNOVACIÓ I INFRAESTRUCTURA",
2030,1,10,REDUCCIÓ DE LES DESIGUALTATS,
2030,1,11,CIUTATS I COMUNITATS SOSTENIBLES,
2030,1,12,PRODUCCIÓ I CONSUM RESPONSABLES,
